projects,active_docs_per_project,single_resolver_bytes,optional_scoped_route_bytes,scoped_byte_delta,scoped_savings_pct,winner,note
1,5,884,1305,421,-47.6,single,synthetic row-size model anchored to current 884-byte five-row resolver
1,10,1409,1830,421,-29.9,single,synthetic row-size model anchored to current 884-byte five-row resolver
1,20,2459,2880,421,-17.1,single,synthetic row-size model anchored to current 884-byte five-row resolver
1,30,3509,3930,421,-12.0,single,synthetic row-size model anchored to current 884-byte five-row resolver
1,50,5609,6030,421,-7.5,single,synthetic row-size model anchored to current 884-byte five-row resolver
1,100,10859,11280,421,-3.9,single,synthetic row-size model anchored to current 884-byte five-row resolver
3,5,1934,1565,-369,19.1,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
3,10,3509,2090,-1419,40.4,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
3,20,6659,3140,-3519,52.8,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
3,30,9809,4190,-5619,57.3,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
3,50,16109,6290,-9819,61.0,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
3,100,31859,11540,-20319,63.8,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
5,5,2984,1825,-1159,38.8,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
5,10,5609,2350,-3259,58.1,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
5,20,10859,3400,-7459,68.7,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
5,30,16109,4450,-11659,72.4,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
5,50,26609,6550,-20059,75.4,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
5,100,52859,11800,-41059,77.7,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
10,5,5609,2475,-3134,55.9,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
10,10,10859,3000,-7859,72.4,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
10,20,21359,4050,-17309,81.0,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
10,30,31859,5100,-26759,84.0,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
10,50,52859,7200,-45659,86.4,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
10,100,105359,12450,-92909,88.2,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
20,5,10859,3775,-7084,65.2,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
20,10,21359,4300,-17059,79.9,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
20,20,42359,5350,-37009,87.4,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
20,30,63359,6400,-56959,89.9,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
20,50,105359,8500,-96859,91.9,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
20,100,210359,13750,-196609,93.5,scoped,synthetic row-size model anchored to current 884-byte five-row resolver
